2/5/25,,,,,,,,,
County,Auth #,Organization Name,Center Name,Address,Address 2,City,Zip,Phone,Extension
BAY,6743,STACEY'S FUN IN THE SUN 3 PRE-SCHOOL INC,STACEY'S FUN IN THE SUN 3 PRE-SCHOOL,6109 CHERRY STREET,,PANAMA CITY,324047958,8508719915,
BAY,6743,STACEY'S FUN IN THE SUN 3 PRE-SCHOOL INC,STACEY'S FUN IN THE SUN 4 PRESCHOOL INC,1139 EVERITT AVE,,PANAMA CITY,324015027,8502575320,
BAY,5552,STACEY'S FUN IN THE SUN PRESCHOOL,STACEY'S FUN IN THE SUN PRESCHOOL 2,7101 BIG DADDY DRIVE,,PANAMA CITY BEACH,32407,8502340210,
BAY,5552,STACEY'S FUN IN THE SUN PRESCHOOL,"STACEY'S FUN IN THE SUN PRESCHOOL, INC.",8713 FRONT BEACH RD.,,PANAMA CITY BEACH,32407,8502361297,
BAY,3423,"STACEY'S SWINGERS PRESCHOOL, INC.","STACEY'S SWINGERS PRESCHOOL, INC.",14130 N. HWY 77,,SOUTHPORT,324092686,8502711248,
BAY,3761,THE ACADEMY OF EARLY LEARNING,THE ACADEMY OF EARLY LEARNING,2732 E 17TH ST,,PANAMA CITY,324057208,8507403194,
BAY,829,TYNDALL CHILD DEVELOPMENT CENTER,TYNDALL AFB CHILD CARE CENTER,BLDG. 510 MISSISSIPPI RD.,,TYNDALL AFB,32403,8502834747,
BAY,829,TYNDALL CHILD DEVELOPMENT CENTER,"TYNDALL AFB, YOUTH CENTER",BLDG. 3223 SABRE DRIVE,,TYNDALL AFB,32403,8502834366,
BRADFORD,583,"EPISCOPAL CHILDREN'S SERVICES, INC.",ECS STARKE HEAD START/EARLY HEAD START`,1080 PINE STREET,,STARKE,32091,9049648280,
BRADFORD,4438,LOVE'N & LEARNING 2,LOVE'N & LEARNING 2,10228 N DIVISION ST,,HAMPTON,320440158,3524681008,
BRADFORD,6203,LOVE'N LEARNING 3,LOVE'N & LEARNING 3,202 WEST MARKET RD,,STARKE,320911519,9049642558,
BRADFORD,1322,LOVE'N & LEARNING CHILDCARE CENTER,LOVE'N & LEARNING CHILD CARE CENTER,17484 HARRELL ST.,,BROOKER,326223302,3524851550,
BRADFORD,6422,MARGATE CHRISTIAN ACADEMY,MARGATE CHRISTIAN ACADEMY,4850 W ATLANTIC BLVD,,MARGATE,330635354,9545976029,
BRADFORD,6256,MIDWAY LEARNING CENTER GROUP LLC,MIDWAY LEARNING CENTER GROUP LLC,8682 STATE ROAD 21,,MELROSE,326668962,3524752132,
BREVARD,5038,A GOLD STAR ACADEMY INC,A GOLD STAR ACADEMY INC,1330 KNOX MCRAE DR.,,TITUSVILLE,327806139,3212677740,
BREVARD,1882,"CHILDHOOD DEVELOPMENT SERVICES, INC",AMAZING FOOTPRINTS CHILD CARE CENTER,121 DEAUVILLE AVENUE SE,,PALM BAY,32909,3216767600,
BREVARD,6545,ANGEL KIDS ACADEMY OF BREVARD INC,ANGEL KIDS ACADEMY OF BREVARD INC,2930 W EAU GALLIE BLVD,,MELBOURNE,329358931,3217525555,
BREVARD,3678,APOLLO PRESCHOOL,APOLLO PRESCHOOL,155 N BABCOCK ST,,MELBOURNE,329356714,3217521161,
BREVARD,2387,"BEAR HUGS COGSWELL, INC.",BEAR HUGS COGSWELL INC,"1535 COGSWELL ST., SUITE B13",,ROCKLEDGE,329554302,3216338111,
BREVARD,6496,BELL OAK ACADEMY,BELL OAK ACADEMY,7215 WAELTI DRIVE,,MELBOURNE,329407513,3212599019,
BREVARD,3188,"BERRI PATCH III, INC","BERRI PATCH III, INC.",705 MALABAR RD,,MALABAR,329503155,3219528900,
BREVARD,3103,BERRI PATCH,BERRI PATCH INC,1320 LAKE WASHINGTON RD.,,MELBOURNE,32935,3212593222,
BREVARD,2677,"CHILD CARE OF SOUTHWEST FL., INC.",BRIGHT HORIZONS ACADEMY,550 E FLORIDA AVE,,MELBOURNE,329018305,3213121663,
BREVARD,6516,BRIGHTER DAYS PPEC,BRIGHTER DAYS PPEC,4241 N US HIGHWAY 1,,MELBOURNE,329354822,3216108718,
BREVARD,6463,BRILLIANT CREATIONS CHILDCARE CENTER LLC,BRILLIANT CREATIONS CHILDCARE CENTER LLC,285 N LAKE VIEW BLVD,,COCOA,329264176,3218064601,
